paper_number,forum_id,spotlight,best_paper,title,abstract,authors,Decision
13,HsyRc5cXqJ,FALSE,FALSE,SIR: Structured Image Representations for Explainable Robot Learning,"Existing robot policies based on learned visual
 embeddings lack explicit structure and are sensitive to visual
 distractions. Thus, the representations that drive their behaviour
 are often opaque, making their decision-making process difficult
 to interpret. To address this, we introduce Structured Image
 Representations (SIR), a method that leverages Scene Graphs
 (SGs) as an intermediate representation for robot policy learning.
 Our approach first constructs a fully connected graph, using
 image-derived features as initial node representations. Then,
 a module learns to sparsify this graph end-to-end, creating a
 task-relevant sub-graph that is passed to the action generation
 model. This process makes our model intrinsically explainable.
 Evaluations on RoboCasa show that our sparse graph policies
 outperform image-based baselines on average with 19.5% vs
 14.81% success rate. Most importantly, we show that the learned
 sparse graphs are a powerful tool for model analysis. By
 analysing when the model’s sub-graph deviates from human
 expectation, such as by including distractor nodes or omitting
 key objects, we successfully uncover dataset biases, including
 spurious correlations and positional biases.","Paul Mattes, Jan Schwab, Jens Oliver Bosch, Nils Blank, Maximilian Xiling Li, Rudolf Lioutikov",Accept
14,BFzZDKs6R0,FALSE,FALSE,ActivePose: Geometry-Grounded Metacognitive Active Perception for Robotic Manipulation,"Robust robot manipulation requires more than estimating a task state: a robot must also recognize when its observation is insufficient and take action to obtain a more informative one. We present \textit{ActivePose}, a geometry-grounded, confidence-aware active perception framework for 6-DoF object pose estimation and tracking. For pose initialization, a vision--language model (VLM) is grounded with entropy-ranked CAD renderings that encode which viewpoints are geometrically ambiguous. At test time, the system assesses whether the current observation supports a reliable pose estimate; when confidence is low, it imagines IK-feasible candidate views, fuses VLM ambiguity with pose-hypothesis entropy, and executes a next-best-view action. During manipulation, a demonstration-trained diffusion policy generates receding-horizon camera trajectories that preserve visibility and recover from motion and occlusion. Experiments in simulation and on real dual-arm hardware show that this combination of semantic ambiguity assessment, geometric uncertainty, and active sensing substantially improves pose reliability and downstream peg-in-hole assembly. The results position active perception as a practical form of metacognitive robot behavior: the robot estimates not only the task state, but also whether its current evidence is adequate for acting.",Sheng Liu,Accept
15,ylcR5AQyVL,FALSE,FALSE,A Contrastive Objective for Action-Grounded Object-Centric World Models,"Object-centric world models promise structured, entity-level prediction, but do they actually use the actions they are given? We study this in a robotic manipulation setting with a temporal object-centric world model built on the Joint-Embedding Predictive Architecture (JEPA), operating over slots from a frozen VideoSAUR encoder. We uncover a consistent failure mode: standard objectives (Hungarian MSE, future action conditioning, and inverse dynamics) all learn to ignore actions, predicting nearly the same future whether given the true actions or none at all. We quantify this with the GT$-$Zero gap, the change in prediction accuracy between ground-truth and zeroed actions, which stays near zero for every standard objective throughout training. Our fix is a contrastive action loss that forces futures under different action sequences to diverge, trained with a higher learning rate on the action encoder. It is the only variant to develop real action sensitivity, reaching a +0.299 GT$-$Zero gap at rollout horizon $k=10$, and this grounding does not cost prediction quality: the same model is the single best performer on a semantic VQA benchmark derived from LIBERO-100, beating every baseline at every horizon and by the widest margin in the hardest setting (50\% predicted). The decisive factor is pressure from the training objective, not architectural access to action information.","Thomas Deng, Zubin Carvalho",Accept
16,gKjYK3BQId,FALSE,FALSE,Motion-aware Event Suppression for Event Cameras,"Event cameras report asynchronously per-pixel
 brightness changes with microsecond latency, encoding dynamic
 visual information as a sparse stream of events. However, their
 extreme temporal resolution floods perception systems with
 entangled events from ego-motion and independently moving
 objects (IMOs), which existing solutions fail to efficiently decouple, relying instead on prohibitive dense 3D reconstructions
 or limited hand-tuned filters. In this work, we introduce the first
 framework for Motion-aware Event Suppression, which learns to
 filter events triggered by IMOs and ego-motion in real time. Our
 model jointly segments IMOs in the current event stream while
 predicting their future motion, enabling anticipatory suppression
 of dynamic events before they occur. Our lightweight architecture
 achieves 173 Hz inference on consumer-grade GPUs with less
 than 1 GB of memory usage, outperforming previous state-of-theart methods on the challenging EVIMO benchmark by 67% in
 segmentation accuracy while operating at a 53% higher inference
 rate. Moreover, we demonstrate significant benefits for downstream applications: our method accelerates Vision Transformer
 inference by 83% via token pruning and improves event-based
 visual odometry accuracy, reducing Absolute Trajectory Error
 (ATE) by 13%.","Roberto Pellerito, Nico Messikommer, Giovanni Cioffi, Marco Cannici, Davide Scaramuzza",Accept
17,UU7DEIFBEb,TRUE,FALSE,"Recover, Discover, Plan: Learning Skills and Concepts from Robot Failures","Intelligent robots should not only recover from failures, but also acquire the abstract knowledge needed to avoid them in the future.
 While reinforcement learning (RL) can learn reactive recovery behaviors, training a separate policy for every distinct failure mode is highly inefficient.
 We introduce Recovery-Driven Synthesis of Relational Concepts (ReSYNC), the first approach that progressively discovers and refines state abstractions (relational predicates) from failure-recovery experience to support abstract planning.
 Unlike purely reactive methods, ReSYNC jointly learns skills and concepts through an incremental dual-learning process.
 In the skill-learning phase, the robot uses RL to learn to recover from failures seen in training tasks.
 In the concept-learning phase, the robot discovers new relational predicates and refines its abstract planning model to explain and generalize the learned recovery behaviors.
 This interaction enables ReSYNC to convert local recoveries seen during training into global failure avoidance at test time.
 Across four simulated domains, we show that ReSYNC's ability to continually expand and refine its abstraction library allows it to solve long-horizon, previously unseen problems, outperforming strong baselines by over 50%. 
 Additionally, we demonstrate sim-to-real transfer of ReSYNC, where it performs real-world non-prehensile manipulation skills and generalizes to unseen scenarios through abstract planning.
 Overall, ReSYNC represents a significant step toward robots that autonomously acquire abstractions for scalable, failure-aware planning in the physical world.","Bowen Li, Mayank Mishra, Y. Isabel Liu, Stone Tao, Nishanth Kumar, Alexander G. Gray, Ruwan Wickramarachchi, Jonathan Francis, Sebastian Scherer, Tom Silver",Accept
18,Nj3vNoY6U6,FALSE,FALSE,Adapting Generalist Robot Policies with Semantic Reinforcement Learning,"Generalist robot policies learn a diverse repertoire of behaviors from large-scale pretraining. In principle, this makes them excellent priors for downstream adaptation via reinforcement learning (RL). In practice, however, standard RL methods leveraging this prior optimize directly over robot actions, requiring the base policy's action distribution to be close to that of a performant policy from the start. This assumption breaks down for complex or long-horizon tasks, where policy inputs fall completely outside the pretraining distribution. Our key insight is that, for sufficiently expressive generalist policies, language prompts are an effective space for learning to solve such tasks: modulating language inputs elicits skills already within the policy's repertoire which can be composed to solve tasks beyond its zero-shot capabilities. We propose Semantic Action Reinforcement Learning (SARL), which learns to optimize this prompt space through online interaction, treating the generalist policy as a controllable skill prior. Importantly, leveraging pretrained skills rather than learning new ones from scratch yields structured, semantically meaningful exploration and highly efficient online improvement. In addition, learning to modulate prompts through experience grounds them in induced real-world behaviors for robust task-solving. Across real-world settings and simulated benchmarks, SARL unlocks fundamentally new capabilities — generalizing to complex, long-horizon tasks — and significantly outperforms existing approaches for improving robot behavior in deployment.","Jagdeep Singh Bhatia, Andrew Wagenmaker, William Chen, Sergey Levine",Accept
19,Ug358TTf6A,FALSE,FALSE,InSight: Self-Guided Skill Acquisition via Steerable VLAs,"Vision-language-action (VLA) models can learn manipulation skills from demonstrations, but their capabilities are bounded by the skills in the training data. We present InSight, a framework that unlocks autonomous skill acquisition by rendering VLAs steerable at the primitive-action level (e.g., “move gripper to the bowl”, “lift upward”, “pour the bottle”). InSight consists of two primary stages: (1) an automated segmentation pipeline that partitions demonstrations into labeled primitives via VLM plan decomposition and end-effector poses to enable VLA primitive steerability, and (2) a VLM-guided data flywheel that identifies missing primitives required to accomplish a novel task, autonomously attempts demonstrations of the missing primitives with VLM-guided low-level control, and automatically labels, stores, and integrates successful demonstrations into the VLA training set. We evaluate InSight across simulation and real-world manipulation tasks, including block flipping, drawer closing, sweeping, twisting, and pouring, without any human demonstrations of these target skills. Our results suggest that primitive steerability is a practical foundation for continual skill acquisition in VLA policies.","Maggie Wang, Lars Osterberg, Stephen Tian, Olao Shorinwa, Jiajun Wu, Mac Schwager",Accept
20,WAIkZveq37,FALSE,FALSE,Learning Agile Quadrotor Flight in the Real World,"Learning-based controllers have achieved impressive performance in agile quadrotor flight but typically rely on massive training in simulation, necessitating accurate system identification for effective Sim2Real transfer. However, even with precise modeling, fixed policies remain susceptible to out-of-distribution scenarios, ranging from external aerodynamic disturbances to internal hardware degradation. To ensure safety under these evolving uncertainties, such controllers are forced to operate with conservative safety margins, inherently constraining their agility outside of controlled settings. While online adaptation offers a potential remedy, safely exploring physical limits remains a critical bottleneck due to data scarcity and safety risks. To bridge this gap, we propose a self-adaptive framework that eliminates the need for precise system identification or offline Sim2Real transfer. We introduce Adaptive Temporal Scaling
 (ATS) to actively explore platform physical limits, and employ online residual learning to augment a simple nominal model.
 Based on the learned hybrid model, we further propose Real-world Anchored Short-horizon Backpropagation Through Time
 (RASH-BPTT) to achieve efficient and robust in-flight policy updates. Extensive experiments demonstrate that our quadrotor
 reliably executes agile maneuvers near actuator saturation limits. The system evolves a conservative base policy with a peak speed
 of 1.9 m/s to 7.3 m/s within approximately 100 seconds of flight time. These findings underscore that real-world adaptation serves not merely to compensate for modeling errors, but as a practical mechanism for sustained performance improvement in aggressive flight regimes.","Yunfan Ren, Zhiyuan Zhu, Jiaxu Xing, Davide Scaramuzza",Accept
21,Cng1xJELhZ,FALSE,FALSE,Native Memory Compression for Long-Horizon Robotic Manipulation,"How can pretrained Vision-Language-Action (VLA) models retain long-horizon visual histories with high-frequency updates without sacrificing efficiency? Existing approaches rely on external memory management, which restrains either the memory horizon or the reactiveness of pretrained policies. To this end, we present NativeMEM, a VLA policy that features long-term and real-time updated memory. At its core is an efficient memory encoding scheme, Native Memory Compression, which repurposes the VLA's own vision encoder to compress each historical frame from each camera view into a single token. Appended to the input sequence, these memory tokens enable the pretrained VLA to attend over long-term history with negligible latency overhead, requiring neither an external planner nor a freshly initialized memory module. To align the memory tokens with the pretrained policy, we first develop a generic memory tokenizer under the supervision of a frozen VLA on memory-demanding data, and then unfreeze the VLA for task-specific fine-tuning. NativeMEM consistently outperforms prior methods, boosting success rates from 32.4% to 84.0% in simulation and up to 98.7% on real robots, while maintaining low inference latency and GPU memory usage. Notably, NativeMEM exhibits high data efficiency by achieving competitive results with prior arts using only 20% of the training data.","Ziye Wang, Chaojun Ni, Modi Shi, Jiazhi Yang, Mengdi Li, Zhizhong Su, Tianwei Lin, Hongyang Li",Accept
22,PUeDi96U9W,FALSE,FALSE,Emergent Neural Automaton Policies: Learning Symbolic Structure from Visuomotor Trajectories,"policies often lack the structural priors needed for effective long-term reasoning, traditional neuro-symbolic methods rely heavily on hand-crafted symbolic priors. To address the issue, we introduce ENAP (Emergent Neural Automaton Policy), a framework that allows a bi-level neuro-symbolic policy adaptively emerge from demonstrations. Specifically, we first employ adaptive clustering and an extension of the L* algorithm to infer a Mealy state machine from visuomotor data, which serves as an interpretable high-level planner capturing latent task modes. Then, this discrete structure guides a low-level reactive residual network to learn precise continuous control via behavior cloning. By explicitly modeling the task policy with discrete transitions and continuous residuals, ENAP achieves high sample efficiency and interpretability without requiring task-specific labels. Extensive experiments on complex manipulation and long-horizon tasks demonstrate that ENAP outperforms state-of-the-art end-to-end VLA policies by up to 27% in low-data regimes, while offering a structured representation of robotic intent.","Yiyuan Pan, Xusheng Luo, Hanjiang Hu, Peiqi Yu, Changliu Liu",Accept
23,BxqMIgaUIl,FALSE,FALSE,Learning Versatile Humanoid Manipulation with Touch Dreaming,"Humanoid robots promise general-purpose assistance, yet humanoid loco-manipulation remains challenging because it requires whole-body stability, end-effector dexterity, and contact-aware interaction under frequent contact changes. In this work, we study dexterous, contact-rich humanoid loco-manipulation. We develop a VR-based whole-body humanoid data collection system, stabilized by an RL-based lower-body controller, that integrates dexterous hands and tactile sensing for contact-rich manipulation. We then propose Humanoid Transformer with Touch Dreaming (HTD), a multimodal encoder-decoder Transformer that models touch as a core modality alongside multi-view vision and proprioception. HTD is trained in a single stage with behavioral cloning augmented by touch dreaming: in addition to predicting action chunks, the policy predicts future hand-joint forces and future tactile latents, with tactile-latent targets provided by an exponential moving average target encoder without requiring a separate tactile pretraining stage. This encourages the policy to learn contact-aware representations for dexterous manipulation. Across five real-world contact-rich tasks, HTD achieves a 90.9% relative improvement in average success rate over the stronger baseline. Ablation results show that latent-space tactile prediction is more effective than raw tactile prediction, yielding a 30% relative gain in success rate. These results demonstrate that our touch-dreaming-enhanced learning system enables versatile, high-dexterity humanoid manipulation in the real world. Anonymous page: https://humanoid-dream-touch.github.io/.","Yaru Niu, Zhenlong Fang, Binghong Chen, Shuai Zhou, Revanth Krishna Senthilkumaran, Hao Zhang, Bingqing Chen, Chen Qiu, Eric H. Tseng, Jonathan Francis, Ding Zhao",Accept
24,vHBgykM7eZ,FALSE,FALSE,INGRID: Interactive Geometry and Instance Identification for Occluded Scenes,"While identifying object instances and accurately reconstructing their geometry are fundamental to manipulation, passive visual observation in static scenes is inherently constrained by occlusions, which gives rise to both geometric and semantic ambiguities, particularly in complex multi-object settings. We present INGRID (INteractive GeometRy and instance IDentification), a system in which a robotic manipulator actively interacts with the scene to reveal previously hidden surfaces and disambiguate object instances and geometries. The key challenge lies first in deciding where to interact in order to induce the most informative scene changes. A subsequent challenge is then to efficiently update both the object instances and their geometries once new visual observations become available. To address these challenges, INGRID follows a four-step pipeline: (i) constructing an instance candidate tree, (ii) optimizing informative actions, (iii) identifying instances under rigid-body assumptions, and (iv) selectively finetuning geometry. Together, these steps enable efficient, interaction-driven geometry and instance identification. Our method proves robust and practical in complex multi-object scenes with severe occlusions, both in simulation and in the real world.","Junho Lee, Sang Min Kim, Yonghyeon Lee, Young Min Kim",Accept
25,W7eHvuvmGK,FALSE,FALSE,"Look Twice, Act Once: Condition-Sensitive Test-Time Selection for Robot Action Policies","Diffusion policies have emerged as a promising paradigm for robotic imitation learning; however, their test-time sampling often selects action chunks without explicitly testing whether they are grounded in the current observation. While this produces plausible actions with the learned policy, they are often weakly conditioned on task-relevant scene information. We introduce CROSS, a training-free test-time selector for stochastic robot action-chunk policies. Given a pretrained action-chunk policy, CROSS samples candidate chunks under the true observation, constructs reference chunks by sampling the same policy under corrupted observations, and finally chooses chunks that are typical under true observation while atypical under corrupted reference. This provides a condition-sensitivity criterion that complements density-based and temporal-coherence-based selection. We evaluate CROSS on PushT with pretrained diffusion policy checkpoints along with offline Franka/GELLO action-selection diagnostics. On image-conditioned PushT policies, CROSS improves clean success from 21\% to 36\% compared to vanilla sampling and achieves the highest clean mean max reward among all tested selectors. On keypoint-conditioned PushT policies, CROSS achieves the best aggregate success across clean, action-noise, and action-delay settings. Across five non-PushT Franka/GELLO offline evaluations, CROSS obtains the lowest action-imitation MSE on four while improving real-density-only selection in all five. Our results suggest that condition sensitive reference sampling is a viable lightweight inference-time method for improving diffusion-policy action selection without retraining, demonstrations, or reward access. We provide anonymized code and evaluation logs.",Suraj Marpadga Reddy,Accept
26,2f2WTEuH3B,TRUE,FALSE,Semantic World Models,"Planning with world models offers a powerful paradigm for robotic control. Conventional approaches train a model to predict future frames conditioned on current frames and actions, which can then be used for planning. However, the objective of predicting future pixels is often at odds with the actual planning objective; strong pixel reconstruction does not always correlate with good planning decisions. This paper posits that instead of reconstructing future frames as pixels, world models only need to predict task-relevant semantic information about the future. For such prediction the paper poses world modeling as a visual question answering problem about semantic information in future frames. This perspective allows world modeling to be approached with the same tools underlying vision language models. Thus, vision-language models can be trained as ""semantic"" world models through a supervised finetuning process on image-action-text data, enabling planning for decision-making while inheriting many of the generalization and robustness properties from the pretrained vision-language models. In this paper, we introduce this new method and validate it on simulated robotic tasks leading to improvements over typical paradigms of reconstruction-based action-conditional world modeling.","Jacob Berg, Chuning Zhu, Yanda Bao, Ishan Durugkar, Abhishek Gupta",Accept
